Ticker,Description,Shares Float,Market Capitalization,Pre-market Change %,Pre-market High,Pre-market Volume,Volume,Volume*Price,Open,Post-market Open,High,Low,Volatility,Change %,Sector,Volatility Month
CXAI,CXApp Inc.,1712694.95,116724701.5,0.09066183,11.19,1570,2727816,37098297.6,10.93,13.6,14.14,10.8,30.92592593,23.30009066,Technology Services,20.68613669
ELTK,Eltek Ltd.,1783766.321,62825540.72,-2.3255814,10.08,200,131863,1416208.62,9.67,10.74,10.92,9.67,12.92657704,4.06976744,Electronic Technology,10.20305349
KALA,"Kala Pharmaceuticals, Inc.",1827252.636,35183330.07,,,,28874,432532.52,14.46,14.98,14.995,14.23,5.37596627,3.66782007,Health Technology,6.93969997
GBNY,"Generations Bancorp NY, Inc.",1874636.063,21702481.04,,,,6414,59457.78,9.15,9.27,9.27,9.01,2.88568257,0.21621622,Finance,3.3811839
BDCO,Blue Dolphin Energy Co.,1926236.214,61926164.05,,,,13020,54033,4.12,,4.3,4.06,5.91133005,2.21674877,Energy Minerals,12.37581423
UUU,"Universal Security Instruments, Inc.",1952458.474,5319639.869,0,2.29,300,45410,104443,2.21,2.3,2.3237,2.185,6.34782609,0.43668122,Electronic Technology,9.13006478
OGEN,Oragenics Inc.,1985343.127,6276437.143,2.04081633,3,400,7783,24127.3,3,,3.1184,2.9527,6.04192773,5.44217687,Health Technology,5.49670895
WLFC,Willis Lease Finance Corporation,2028519.809,282151651.3,,,,21617,960010.97,44.25,44.41,45.725,43.5,5.11494253,1.99816261,Finance,3.86171648
NWLI,"National Western Life Group, Inc.",2064254.299,1371091755,,,,13210,5122177.5,384,387.75,387.75,381.21,1.71558983,1.47601476,Finance,1.94655236
CYCN,"Cyclerion Therapeutics, Inc.",2084387.149,10997532.32,,,,22827,104547.66,4.45,4.58,4.58,4.34,5.52995392,0.88105727,Health Technology,6.22744971
PNBK,Patriot National Bancorp Inc.,2101812.403,35369460.45,,,,9469,84463.48,8.8,,9.3,8.1001,14.81339737,0.45045045,Finance,7.3633223
VCIG,VCI Global Limited,2153918.781,104168000,33.92226148,4.59,5772125,118177762,856788774.5,3.8,7.25,11.32,3.57,237.8151261,156.1837456,Commercial Services,22.53310878
SFBC,"Sound Financial Bancorp, Inc.",2184112.23,87528259.48,,,,19601,659573.65,33.62,33.65,34.8,33.61,3.54061291,0.1190122,Finance,2.80454558
AUBN,"Auburn National Bancorporation, Inc.",2251524.925,67207216.34,,,,24769,475564.8,19.9899,19.2,19.9899,19.151,6.21325257,2.12765957,Finance,3.30318642
GRI,"GRI Bio, Inc.",2263566.913,17572104.34,,,,5552,33423.04,5.96,5.8799,6.1,5.87,3.91822828,1.34680135,Health Technology,8.61266615
AWX,Avalon Holdings Corporation,2287763.855,8812714.311,,,,10795,24396.7,2.275,,2.3,2.25,2.22222222,0.44444444,Industrial Services,3.39832285
VIA,"Via Renewables, Inc.",2402224.227,78473686.71,,,,90607,989428.44,10.7,10.92,11.61,10.7,8.5046729,2.05607477,Utilities,6.29132796
PBCO,PBCO Financial Corporation,2410017.75,59738307.41,,,,13418,150952.5,11.15,,11.25,11.15,1.70403587,1.71790235,Finance,0.87590924
CWBR,"CohBar, Inc.",2468157.986,8502758.892,,,,12985,37981.125,2.94,2.925,2.96,2.83,4.59363958,0.51546392,Health Technology,14.48295126
AE,"Adams Resources & Energy, Inc.",2471441.88,88663285.86,,,,8399,293797.02,34.52,34.98,34.98,34.52,1.39049826,1.39130435,Distribution Services,3.15027407
GDNR,Gardiner Healthcare Acquisitions Corp.,2476489.337,44559944,-0.83333333,11,873,35082,382042.98,10.82,,11.0143,10.81,1.98242368,0.83333333,Finance,1.24620957
PSTV,"PLUS THERAPEUTICS, Inc.",2485226.678,7579733.333,,,,12541,38124.64,2.88,3.04,3.14,2.88,9.02777778,5.55555556,Health Technology,7.75084358
CSBB,"CSB Bancorp, Inc.",2523805.103,106956935.9,,,,6066,242033.4,39,,40,37.5001,6.66638222,3.63636364,Finance,1.68258499
HIHO,Highway Holdings Limited,2569252.564,11787529.67,,,,68213,199181.96,2.7,,2.92,2.68,10.51119403,10.6773301,Producer Manufacturing,4.2902571
TRT,Trio-Tech International,2599818.675,20729201.41,,,,5648,28578.88,4.94,,5.06,4.94,2.4291498,1.6064257,Producer Manufacturing,3.14705211
BHG,"Bright Health Group, Inc.",2661507.635,92400226.81,,,,93018,1080869.16,11.26,11.62,11.87,11.05,7.42081448,1.57342657,Health Services,17.3611595
TYGO,"Tigo Energy, Inc.",2671628.013,1033228572,3.39506173,16.75,300,157911,2806078.47,16.45,17.77,18,16.11,11.73184358,9.69135802,Technology Services,24.5248822
GIA,"GigCapital 5, Inc.",2729001.609,32091679.11,,,,5400,57401.46,10.63,,10.63,10.6299,0.37629705,0.37677054,Finance,0.0325942
ADMP,Adamis Pharmaceuticals Corporation,2765105.369,6496716.242,-1.86046512,2.11,400,57935,134988.55,2.16,2.33,2.35,2.11,11.37440758,8.37209302,Health Technology,10.29281122
NATH,"Nathan's Famous, Inc.",2790728.386,328009487.2,,,,10842,871696.8,79.15,80.4,80.91,78.68,2.83426538,0.95429432,Consumer Services,2.20750126
RSLS,"ReShape Lifesciences, Inc.",2792675.883,6473088.152,7.10900474,2.28,8261,431468,949229.6,2.11,2.2,2.448,2.11,16.01895735,4.26540284,Health Technology,5.59496301
AXR,AMREP Corporation,2853053.541,90909921.79,0,17.21,300,15764,272717.2,17.05,17.3,17.65,17,3.82352941,0.52295177,Finance,2.99167803
BANL,CBL International Limited,2875125,63112500,-3.10344828,2.81,298,390559,1159960.23,2.83,2.97,3,2.81,6.76156584,2.4137931,Transportation,7.91655405
ESEA,Euroseas Ltd.,2933868.621,154218550.4,,,,26717,587506.83,21.29,,21.9976,21.1101,4.44147588,4.41595442,Transportation,3.42198958
GREE,Greenidge Generation Holdings Inc.,2941541.214,98608688.41,2.07612457,3.08,57117,1574342,4880460.2,2.95,3.1,3.3899,2.6,30.38076923,7.26643599,Technology Services,16.75568123
SLRK,"Solera National Bancorp, Inc.",2976229.65,45828435.8,,,,33417,369592.02,11.07,,11.07,11,0.63636364,0.54545455,Finance,1.71757811
TMBR,"Timber Pharmaceuticals, Inc.",3013532.861,6271637.04,0.5,2.01,600,73063,150509.78,2.08,2.06,2.08,1.9201,8.32769127,3,Health Technology,10.21957386
VYNE,VYNE Therapeutics Inc.,3138505.287,16389092.1,,,,11563,57930.63,4.89,5.01,5.03,4.81,4.57380457,2.45398773,Health Technology,7.07740442
LEDS,SemiLEDS Corporation,3200339.326,12424971.63,,,,47525,120713.5,2.48,,2.6,2.44,6.55737705,1.19521912,Electronic Technology,11.94208825
FCAP,"First Capital, Inc.",3212189.798,101116799.2,,,,28759,865645.9,29.82,30.1,31.5,29.82,5.63380282,0.06648936,Finance,3.77339123
SMTI,Sanara MedTech Inc.,3268081.764,352321365.4,,,,25930,1089837.9,40.7,42.03,43.695,38.3101,14.05608443,2.13851762,Health Technology,5.3966584
BAFN,BayFirst Financial Corp.,3323842.731,56685480.47,,,,5703,78758.43,13.5,13.81,14.21,13.5,7.40740741,4.54201363,Finance,2.43819849
XPON,Expion360 Inc.,3337624.359,32984705.48,,,,58185,278124.3,4.92,4.78,4.92,4.55,8.13186813,1.27118644,Producer Manufacturing,7.84998975
DRCT,"Direct Digital Holdings, Inc.",3350118.626,43958620,,,,37174,115239.4,3.13,3.1,3.1821,2.98,6.78187919,2.64900662,Commercial Services,8.61025579
UTMD,"Utah Medical Products, Inc.",3394182.839,344775176,,,,13842,1315405.26,94.92,95.03,96.6,93.47,3.34866802,0.95612451,Health Technology,2.36553376
FGPR,"Ferrellgas Partners, L.P.",3429365.793,221061862.8,,,,12881,104851.34,7.8,,8.14,7.52,8.24468085,2.77777778,Distribution Services,7.07661832
SDIG,"Stronghold Digital Mining, Inc.",3511726.966,129508022.7,2.5,4.1,6771,633512,2616404.56,4.14,4.13,4.28,3.58,19.55307263,3.25,Technology Services,10.03830859
NC,"NACCO Industries, Inc.",3519702.57,258812304,,,,15910,548258.6,33.97,34.46,34.49,33.13,4.10504075,2.16424548,Energy Minerals,4.67278534
ELTX,"Elicio Therapeutics, Inc.",3543541.426,103161587.5,,,,40184,494263.2,11.97,12.3,12.47,11.89,4.87804878,3.01507538,Health Technology,20.9955357
PULM,"Pulmatrix, Inc.",3650084.017,10518579.77,,,,15752,45365.76,2.76,2.88,2.88,2.72,5.88235294,2.85714286,Health Technology,4.22333322
ARYD,ARYA Sciences Acquisition Corp IV,3661940.749,83325765.45,,,,6001,63077.7112,10.5,,10.5112,10.5,0.10666667,0.10666667,Finance,0.13323513
WTMA,Welsbach Technology Metals Acquisition Corp.,3678988.404,62330376.98,,,,17474,184175.96,10.53,,10.54,10.53,0.09496676,0.09496676,Finance,0.0820173
FLXS,"Flexsteel Industries, Inc.",3686448.847,97100938.51,,,,12928,243692.8,18.32,18.85,19.21,18.32,4.8580786,0.80213904,Consumer Durables,3.70560874
FNWD,Finward Bancorp,3697105.818,93182158.03,,,,5499,119053.35,21.5,21.65,21.7494,21.5,1.16,0.18509949,Finance,3.96303102
HOFV,Hall of Fame Resort & Entertainment Company,3734078.217,52016130.33,,,,23199,213314.805,8.43,9.195,9.39,8.1,15.92592593,9.46428571,Consumer Services,6.06567318
SLND,"Southland Holdings, Inc.",3772178.796,444583271.7,,,,76079,706773.91,9.08,9.29,9.64,9.04,6.63716814,0.65005417,Industrial Services,4.7410867
HEPA,"Hepion Pharmaceuticals, Inc.",3805899.993,48596383.75,,,,80347,1024424.25,11.68,12.75,12.88,11.31,13.88152078,9.1609589,Health Technology,15.63296857
GFX,Golden Falcon Acquisition Corp.,3808579.722,130902500.8,0,10.2,1542,18028,183885.6,10.18,,10.2,10.16,0.39370079,0.09813543,Finance,0.17083941
CLMB,"Climb Global Solutions, Inc.",3817031.178,226387115.3,,,,58985,2932734.2,47.46,49.72,49.72,47.46,5.22545301,5.24978831,Distribution Services,3.51687277
AFRI,Forafric Global PLC,3871934.355,638467792.4,,,,21332,239451.7,10.99,11.225,11.69,10.99,8.18926297,4.03151066,Process Industries,4.48104728
POAI,Predictive Oncology Inc.,3895747.038,17823272.76,3.59116022,3.75,2756,434898,1935296.1,3.8,4.45,4.55,3.64,25.54945055,22.9281768,Health Technology,11.48240358
LWAY,"Lifeway Foods, Inc.",3898197.451,108602114.6,0.29069767,6.9,200,31465,233155.65,6.92,7.41,7.41,6.92,7.65895954,7.70348837,Consumer Non-Durables,3.58591844
OIG,"Orbital Infrastructure Group, Inc.",3925870.917,9809558.053,,,,18236,38113.24,2.08,2.09,2.12,1.99,6.53266332,1.45631068,Industrial Services,5.38621997
PMTS,CPI Card Group Inc.,3953809.601,291265819.2,,,,90770,2313727.3,25.34,25.49,26.3,25.12,4.69745223,0.63166206,Finance,5.92004179
HHRS,Hammerhead Energy Inc.,4001873.31,665017217.3,14.52054795,8.36,500,14048,102690.88,7.49,,7.63,7.2,5.97222222,0.1369863,Energy Minerals,4.48643917
ASCA,A SPAC I Acquisition Corp.,4002468,57144675.4,,,,10300,108562,10.48,,10.54,10.47,0.66857689,0.66857689,Finance,0.13371538
CNSP,"CNS Pharmaceuticals, Inc.",4076880.826,9571112.833,-2.77777778,2.2,8897,134138,309858.78,2.19,2.31,2.31,2.14,7.94392523,6.94444444,Health Technology,16.44166282
IGTA,Inception Growth Acquisition Limited,4084431.788,73631311.36,,,,56702,586865.7,10.35,,10.35,10.34,0.0967118,0.0967118,Finance,0.14498864
TISI,"Team, Inc.",4305094.531,30750865.43,,,,105449,743415.45,6.75,7.05,7.225,6.3901,13.06552323,9.64230171,Commercial Services,11.40892742
ZURA,Zura Bio Limited,4332213.258,551599142.6,0.21097046,9.69,1436,1359307,17399129.6,9.45,12.8,12.99,9.32,39.3776824,35.02109705,Health Technology,15.65518735
FAT,FAT Brands Inc.,4342121.832,123588686.1,,,,26535,198216.45,7.43,7.47,7.5,7.17,4.60251046,0.40322581,Consumer Services,6.49896089
SIF,"SIFCO Industries, Inc.",4355476.787,16160274.17,,,,7711,20434.15,2.64,2.65,2.69,2.6,4.23076923,2.71317829,Electronic Technology,5.20519485
VGAS,"Verde Clean Fuels, Inc.",4388996.249,324639346.9,,,,41178,419603.82,10.58,10.19,11.39,10.08,12.99603175,0.89108911,Process Industries,20.64609449
ARRW,Arrowroot Acquisition Corp.,4445810,121335454.3,,,,86194,899003.42,10.39,,10.43,10.39,0.38498556,0.38498556,Finance,0.17926124
MBAC,M3-Brigade Acquisition II Corp.,4536980,148713313.2,,,,50338,514957.74,10.25,,10.25,10.23,0.39100684,0.19588639,Finance,0.1931822
CBFV,"CB Financial Services, Inc.",4575442.945,100412255.7,,,,57113,1122270.45,20,19.65,20.74,19.36,7.12809917,1.02827763,Finance,4.95056907
FDBC,"Fidelity D & D Bancorp, Inc.",4576221.405,287058478.2,,,,35113,1779175.71,48.93,50.67,51.07,48.09,6.19671449,2.65397083,Finance,3.8082287
HOV,"Hovnanian Enterprises, Inc.",4583830.297,569387031,2.04457166,99.82,100,36302,3613138.06,97.56,99.53,101.3499,97.56,3.88468635,1.74810877,Consumer Durables,4.95381034
VABK,Virginia National Bankshares Corporation,4706704.965,163125849.6,,,,41133,1250443.2,30.44,30.4,30.99,30.1,2.95681063,0.62893082,Finance,2.33586648
BPRN,"Princeton Bancorp, Inc.",4715694.814,180521029.8,,,,26422,761746.26,28.83,28.83,29.27,28.47,2.80997541,0.69856794,Finance,4.1194475
FATP,Fat Projects Acquisition Corp,4717720.573,5249259.93,,,,10564,114196.84,10.83,,10.83,10.8,0.27777778,0.09259259,Finance,0.99342794
BRN,"Barnwell Industries, Inc.",4718803.962,25986952.47,3.50583658,2.6601,2147,23739,61958.79,2.62,2.61,2.66,2.6,3.46153846,1.55642023,Energy Minerals,3.85956676
RRBI,"Red River Bancshares, Inc.",4759708.563,395282269,,,,13612,748660,53.18,55,55,53.17,3.44179048,2.55454037,Finance,2.65495529
IPDN,"Professional Diversity Network, Inc.",4761135.321,41180817.22,,,,16740,67127.4,3.91,4.01,4.06,3.91,3.83631714,1.00755668,Commercial Services,12.2964112
NVEC,NVE Corporation,4761328.849,450377944.8,0.44313146,88.4,100,101189,9433850.47,89.01,93.23,96.5599,89.01,9.60554994,5.93114419,Electronic Technology,3.43270095
SEED,Origin Agritech Limited,4763328.265,25939752.01,13.38383838,4.5,700,45394,187023.28,4.55,,4.55,4.11,14.35523114,4.04040404,Process Industries,8.3379378
BOSC,B.O.S. Better Online Solutions,4782851.187,18117714.23,,,,11069,35173.9613,3.1,,3.1777,3.1,2.50645161,1.20063694,Electronic Technology,6.84231246
ODC,Oil-Dri Corporation Of America,4849022.603,381163011.7,,,,82181,4718833.02,54.93,57.42,57.9,54.47,6.29704424,4.57111637,Process Industries,4.20112957
ALCO,"Alico, Inc.",4909560.825,193247848.1,,,,36330,923145.3,25.32,25.41,25.51,25.04,1.87699681,0.31583103,Process Industries,3.03141749
CODA,"Coda Octopus Group, Inc.",4914944.169,94479118.74,-1.19760479,8.25,135,64294,547784.88,8.26,8.52,8.6999,8.1227,7.10601155,2.03592814,Electronic Technology,5.19886234
PLBC,Plumas Bancorp,4936327.573,218952357.7,,,,29182,1089655.88,36.95,37.34,37.83,36.59,3.38890407,0.37634409,Finance,2.39608666
TORO,Toro Corp.,4977692.282,30842889.34,-3.79746835,3.04,141,115378,376132.28,3.12,3.26,3.29,3.1089,5.82521149,3.16455696,Transportation,7.73948797
LPCN,Lipocine Inc.,5059024.495,26188781.08,,,,18576,93437.28,4.85,5.03,5.1479,4.85,6.14226804,3.71134021,Health Technology,10.08261607
VII,7GC & Co. Holdings Inc.,5062483.788,113681162.5,,,,103893,1090876.5,10.44,,10.5,10.44,0.62260536,0.62290369,Finance,1.1388445
KOSS,Koss Corporation,5094691.274,34562980.9,3.75335121,3.87,439,77475,290531.25,3.83,3.75,3.99,3.71,7.54716981,0.53619303,Consumer Durables,4.28848422
EVI,"EVI Industries, Inc.",5149251.627,289093164.8,,,,20001,459822.99,22.455,22.99,23.225,22.12,6.03526221,5.02512563,Distribution Services,5.55856533
EVBN,"Evans Bancorp, Inc.",5179384.788,138153284.5,,,,25652,648739.08,25.5,25.29,25.5,24.8894,2.45325319,0.15841584,Finance,1.83944741
APLM,Apollomics Inc.,5272744.083,451338346.9,-4.296875,4.9,250,35794,186128.8,5.19,,5.44,4.9918,8.97872511,1.5625,Health Technology,11.30544645
KRUS,"Kura Sushi USA, Inc.",5285578.916,962131900.4,,,,107509,9470467.81,84.26,88.09,88.5,83.6,5.86124402,4.29789249,Consumer Services,4.19084921
HQI,"HireQuest, Inc.",5297901.6,392535991.6,,,,58173,1642805.52,26.82,28.24,28.57,26.3,8.63117871,5.21609538,Commercial Services,4.85156453
SMLR,"Semler Scientific, Inc.",5312166.644,176700136.5,,,,73832,1904127.28,25.5,25.79,26.84,25.46,5.42026709,1.1372549,Health Technology,4.03591983
MGOL,MGO Global Inc.,5358137.695,37597668.24,1.42857143,2.18,9033,13188365,34817283.6,2.13,2.64,2.84,2.06,37.86407767,25.71428571,Commercial Services,21.09542389
ATLC,Atlanticus Holdings Corporation,5407658.133,564609441.4,,,,14875,580645.625,37.55,39.035,39.76,37.55,5.88548602,0.6056701,Finance,5.1236563
AQU,Aquaron Acquisition Corp.,5461471.566,73882562.7,,,,10271,106715.69,10.39,,10.39,10.38,0.09633911,0.07223694,Finance,2.8947573
ATAK,Aurora Technology Acquisition Corp.,5478124.749,116787821.5,,,,28906,306114.54,10.59,,10.595,10.59,0.51935788,0.4743833,Finance,1.97482429
FGBI,"First Guaranty Bancshares, Inc.",5486755.114,144676745.7,,,,53779,726016.5,12.97,13.5,13.5,12.57,7.39856802,6.55090766,Finance,6.65614275
SCX,L.S. Starrett Company (The),5585669.873,77008810.61,,,,16727,173793.53,10.12,10.39,10.4,10.0165,3.82868267,1.26705653,Consumer Durables,4.22393316
NKSH,"National Bankshares, Inc.",5700065.541,185407350.5,,,,23308,733735.84,30.52,31.48,31.585,28.6,10.43706294,3.45054223,Finance,3.67363963
CHEK,Check-Cap Ltd.,5840131.481,15611459.31,-1.91570881,2.63,211,198152,529065.84,2.57,2.69,2.7499,2.5201,9.11868577,2.29885057,Health Technology,8.58244611
IMMX,"Immix Biopharma, Inc.",5879414.524,36079447.57,-0.45045045,2.21,4850,206085,494604,2.28,2.4,2.53,2.22,13.96396396,8.10810811,Health Technology,8.84589506
GECC,Great Elm Capital Corp.,5890606.765,58078957.47,,,,43933,335648.12,7.59,7.64,7.68,7.54,1.85676393,0.79155673,Finance,1.66557387
PTSI,"P.A.M. Transportation Services, Inc.",5956570.455,594238745.5,,,,14206,383135.82,26.77,26.97,27.16,26.2266,3.5589821,0.0742115,Transportation,3.53600035
HCI,"HCI Group, Inc.",5992145.487,498349145.3,,,,56708,3287362.76,57.72,57.97,58.61,57.2994,2.28728399,0.43312543,Finance,3.00312116
HURC,"Hurco Companies, Inc.",6046404.685,142684010.6,,,,18590,410467.2,21.87,22.08,22.23,21.67,2.58421781,1.51724138,Producer Manufacturing,2.79089368
GFAI,"Guardforce AI Co., Limited",6059265.258,37807492.55,1.42348754,6.12,48757,1109340,6456358.8,5.68,5.82,5.85,5.48,6.75182482,3.55871886,Technology Services,10.11626398
OCN,Ocwen Financial Corporation NEW,6086898.104,233030166.3,,,,52455,1599877.5,29.785,30.5,30.5,29.57,3.58471424,3.60054348,Finance,3.33030772
HBB,Hamilton Beach Brands Holding Company,6119997.484,138428471.3,,,,14418,141584.76,9.63,9.82,10.15,9.54,9.85324948,6.62323561,Consumer Durables,5.14687745
SLNO,"Soleno Therapeutics, Inc.",6271335.29,39945372.54,,,,51265,250685.85,4.8,4.89,4.9887,4.6,8.45,2.51572327,Health Technology,7.0206181
GWSO,"Global Warming Solutions, Inc.",6275749.662,35415357.83,,,,5548,12261.08,2.06,,2.21,2.04,8.33333333,6.76328502,Industrial Services,6.35065775
CCRD,CoreCard Corporation,6298923.322,221411214.9,,,,42580,1108783.2,25.27,26.04,26.44,24.93,6.05695949,3.29234431,Technology Services,3.70451054
MRKR,"Marker Therapeutics, Inc.",6312562.205,30531937.67,0,3.14,490,380119,1319012.93,3.13,3.47,3.7,3.07,20.52117264,10.50955414,Health Technology,14.11349906
FUNC,First,6316871.234,105213405.2,,,,28519,448603.87,15.25,15.73,15.99,15.2101,5.12751395,2.81045752,Finance,3.30284451
ANVS,"Annovis Bio, Inc.",6340872.238,136157576,,,,89344,1350881.28,14.23,15.33,15.56,13.86,12.26551227,5.21920668,Health Technology,6.75541283
PETV,"PetVivo Holdings, Inc.",6357314.485,25034938.43,,,,9383,21674.73,2.24,2.31,2.35,2.24,4.91071429,1.76211454,Health Technology,5.79578037
ROSS,Ross Acquisition Corp II,6380900,156961734.1,,,,7966,83324.36,10.45,10.46,10.47,10.45,0.4784689,0.38387716,Finance,0.28782782
MDWD,MediWound Ltd.,6466328.612,96751702.82,,,,10609,111501.6509,9.73,,10.78,9.5101,13.35317189,3.85474308,Health Technology,4.22551566
IZM,ICZOOM Group Inc.,6496874,49669860.72,,,,54890,264020.9,4.94,4.81,4.94,4.61,7.15835141,1.05042017,Retail Trade,11.01808148
GIC,Global Industrial Company,6569582.983,1034824773,,,,28572,777729.84,27.02,27.22,27.38,26.99,1.44497962,0.1840265,Retail Trade,2.19717814
FSBW,"FS Bancorp, Inc.",6584405.229,236092704.3,,,,34218,1043306.82,29.55,30.49,30.49,29.2,4.41780822,3.9904502,Finance,3.04995946
OPA,Magnum Opus Acquisition Limited,6595120,120937072.9,,,,1527036,15926985.48,10.35,,10.44,10.35,0.86956522,0.48169557,Finance,0.55035687
PWOD,"Penns Woods Bancorp, Inc.",6675954.454,192606458.1,,,,43703,1191780.81,27.09,27.27,27.365,26.463,3.40853267,1.56424581,Finance,3.30065939
FSI,Flexible Solutions International Inc.,6705059.939,33078514.92,,,,25438,67665.08,2.6,2.68,2.69,2.6,3.46153846,2.30769231,Process Industries,4.48868715
COFS,"ChoiceOne Financial Services, Inc.",6715343.183,183079365,,,,24286,591121.24,24.55,24.34,24.7403,24.02,2.99875104,0.16460905,Finance,2.33967511
GBLI,"Global Indemnity Group, LLC",6716345.645,455161269.6,,,,8839,298758.2,33.75,,33.89,33.75,0.44444444,0.17783047,Finance,4.21616656
CRAI,"CRA International,Inc.",6717393.441,709924741.3,,,,32817,3315829.68,99.77,101.04,101.6,99.62,1.9875527,0.34760155,Commercial Services,2.34158927
ASPS,Altisource Portfolio Solutions S.A.,6757275.042,132382199.5,,,,233725,1486491,5.88,6.36,6.45,5.81,11.01549053,8.34752981,Finance,7.23378313
